reso5	0.00048854	0.0211496
reso10	0.48185	0.0354904
reso15	0.587014	0.0216018
reso20	0.620422	0.0201564
reso25	0.702271	0.0237044
reso30	0.741133	0.0136872
reso35	0.710653	0.0164929
reso40	0.743729	0.0153366
reso45	0.765153	0.0154833
reso50	0.734304	0.0139343
reso55	0.781953	0.0141252
reso60	0.763242	0.0107433
reso70	0.793448	0.00834147
reso80	0.804682	0.00851612
reso90	0.81507	0.00892075
reso100	0.828618	0.00548232
reso120	0.834389	0.00522494
reso140	0.832355	0.00491748
reso160	0.823727	0.00286349
